date;base;target;value;result
2021-08-20;HUF;USD;345.25;1.1503337232715678
2021-08-20;USD;EUR;1278.2;1094.477691304545
2021-08-20;HUF;EUR;458.17;1.3071484558859876
2021-08-20;TOP;EUR;892.17;334.4060775344425
2021-08-20;EUR;HUF;999.9;350476.0158933
2021-08-20;EUR;HUF;876.56;307243.98088952
2021-08-20;TND;EUR;2345.67;716.0538599542284
2021-08-20;SZL;EUR;94836.4;5450.957083349067
2021-08-20;TND;USD;456.0;162.56817068290198
2021-08-20;SRD;EUR;345.0;13.81815373765438
2021-08-20;TND;HUF;456.0;48791.6330650959
2021-08-20;TND;EUR;123.0;37.54774745568221
2021-08-20;TND;EUR;123.0;37.54774745568221
