date;base;target;value;result
2021-08-21;USD;HUF;123.0;36824.7858
2021-08-21;EUR;USD;123.0;143.8731
2021-08-21;EUR;TOP;825.34;2205.4092
2021-08-21;EUR;USD;123.6;144.5749
2021-08-21;EUR;HUF;72534.45;25401182.206
2021-08-21;HUF;EUR;123.2;0.3518
2021-08-21;EUR;HUF;445.3;155941.7137
2021-08-21;EUR;HUF;1234.54;432329.4032
2021-08-21;HUF;EUR;635.24;1.814
2021-08-21;HUF;EUR;726.35;2.0741
2021-08-22;EUR;HUF;-236.0;-82655.6181
2021-08-22;EUR;HUF;123.4;43219.0817
2021-08-22;USD;HUF;40.0;11976.9401
2021-08-23;USD;HUF;100.0;29865.7974
2021-08-23;USD;HUF;100.0;29865.7974
2021-08-23;HUF;EUR;123.0;0.3513
2021-08-23;EUR;TOP;4562.4;12226.6389
2021-08-23;EUR;HUF;123.4;43203.3373
2021-08-23;USD;EUR;345.5;294.7271
2021-08-23;EUR;USD;1234.3;1446.9341
2021-08-25;HUF;EUR;123.2;0.3544
